Country Name,Country Code,Year,R&D_Expenditure_%GDP,Researchers_per_Million,Patent_Applications
Australia,AUS,1996,1.66218,3353.7053,1797.0
Belgium,BEL,1996,1.74299,2477.43906,776.0
Bulgaria,BGR,1996,0.41826,1771.85422,316.0
Canada,CAN,1996,1.60682,3055.67247,2583.0
Switzerland,CHE,1996,2.37649,3130.03604,2504.0
China,CHN,1996,0.56324,447.0994,11628.0
Czechia,CZE,1996,0.88912,1258.0318,614.0
Germany,DEU,1996,2.14461,2801.62099,42322.0
Denmark,DNK,1996,1.80667,3180.15253,1309.0
East Asia & Pacific,EAS,1996,2.18445578216061,897.965464886747,424249.0
Europe & Central Asia,ECS,1996,1.64392778551766,2273.59941282051,163870.0
Ecuador,ECU,1996,0.07406,84.01608,7.0
Spain,ESP,1996,0.78753,1286.11531,2274.0
France,FRA,1996,2.2228,2656.27136,12916.0
United Kingdom,GBR,1996,1.5754,2485.75438,18184.0
Hungary,HUN,1996,0.63027,1009.14592,803.0
India,IND,1996,0.63905,153.94902,1661.0
Italy,ITA,1996,0.9459,1337.61364,6997.0
Japan,JPN,1996,2.64303,4906.38735,340101.0
"Korea, Rep.",KOR,1996,2.21616,2186.08907,68405.0
Sri Lanka,LKA,1996,0.18356,194.43149,50.0
Lithuania,LTU,1996,0.4917,2084.56665,100.0
Latvia,LVA,1996,0.39689,1149.21172,196.0
Mexico,MEX,1996,0.23838,217.03384,386.0
Malaysia,MYS,1996,0.21645,91.99322,221.0
North America,NAC,1996,2.38902998565091,3119.51353257458,109475.0
Netherlands,NLD,1996,1.84093,2277.62765,2348.0
Panama,PAN,1996,0.3101,113.61824,31.0
Poland,POL,1996,0.63937,1367.8676,2411.0
Portugal,PRT,1996,0.5495,1255.99385,86.0
Romania,ROU,1996,0.67472,1340.54887,1831.0
Russian Federation,RUS,1996,0.96592,3792.63573,18014.0
South Asia,SAS,1996,0.623488631237301,154.675615188746,1749.0
Singapore,SGP,1996,1.31991,2532.4262,224.0
Slovak Republic,SVK,1996,0.88963,1868.13993,195.0
Slovenia,SVN,1996,1.26473,2257.90178,288.0
Thailand,THA,1996,0.11918,101.45653,203.0
Turkiye,TUR,1996,0.45159,294.0892,189.0
United States,USA,1996,2.45013,3126.53057,106892.0
Zambia,ZMB,1996,0.01104,50.04499,6.0
Argentina,ARG,1997,0.41959,694.1551,824.0
Belgium,BEL,1997,1.80971,2582.2631,792.0
Bulgaria,BGR,1997,0.46548,1450.78139,394.0
Canada,CAN,1997,1.61386,3114.23872,3344.0
China,CHN,1997,0.63873,476.21305,12672.0
Czechia,CZE,1997,0.98819,1222.7761,579.0
Germany,DEU,1997,2.18832,2862.8306,44438.0
Denmark,DNK,1997,1.88914,3319.53904,1319.0
East Asia & Pacific,EAS,1997,2.25962381273574,882.953257066031,435329.0
Europe & Central Asia,ECS,1997,1.62807461368712,2233.55618705017,161961.0
Ecuador,ECU,1997,0.06263,78.17639,8.0
Spain,ESP,1997,0.77781,1336.11001,2237.0
France,FRA,1997,2.14699,2646.3481,13252.0
United Kingdom,GBR,1997,1.53729,2495.08042,17938.0
Greece,GRC,1997,0.4291,1034.83571,293.0
High income,HIC,1997,2.15516570799632,2921.84139386571,690700.0
Hungary,HUN,1997,0.69895,1083.88096,737.0
Iceland,ISL,1997,1.79808,4967.78663,22.0
Japan,JPN,1997,2.72177,4959.03285,350807.0
"Korea, Rep.",KOR,1997,2.2483,2241.82853,67359.0
Lithuania,LTU,1997,0.53667,2175.00297,125.0
Latvia,LVA,1997,0.36627,1067.30045,162.0
Mexico,MEX,1997,0.26404,229.69194,420.0
North Macedonia,MKD,1997,0.35911,606.0126,66.0
North America,NAC,1997,2.415147558048,3225.28950214987,122558.0
Nicaragua,NIC,1997,0.0651,71.26696,3.0
Netherlands,NLD,1997,1.84477,2427.11356,2391.0
Norway,NOR,1997,1.5935,3981.76176,1256.0
